# r- and r-s fractions from Prantzos 2020
# Nsun is from Lodders 2009
#z isotope element nsun sfrac rfrac
74 182 W 3.63E-02 0.675 0.325
74 183 W 1.96E-02 0.701 0.299
74 184 W 4.20E-02 0.790 0.210
74 186 W 3.90E-02 0.279 0.721
75 185 Re 2.07E-02 0.341 0.659
75 187 Re 3.74E-02 0.048 0.952
76 186 Os 1.08E-02 1.000 0.000
76 187 Os 8.60E-03 0.751 0.249
76 188 Os 9.04E-02 0.209 0.791
76 189 Os 1.10E-01 0.041 0.959
76 190 Os 1.79E-01 0.132 0.868
76 192 Os 2.78E-01 0.018 0.982
77 191 Ir 2.50E-01 0.015 0.985
77 193 Ir 4.21E-01 0.009 0.991
78 192 Pt 1.00E-02 1.000 0.000
78 194 Pt 4.20E-01 0.072 0.928
78 195 Pt 4.31E-01 0.032 0.968
78 196 Pt 3.22E-01 0.133 0.867
78 198 Pt 9.10E-02 0.027 0.973
79 197 Au 1.95E-01 0.058 0.942
80 198 Hg 4.60E-02 1.000 0.000
80 199 Hg 7.70E-02 0.255 0.745
80 200 Hg 1.06E-01 0.575 0.425
80 201 Hg 6.00E-02 0.428 0.572
80 202 Hg 1.37E-01 0.742 0.258
80 204 Hg 3.10E-02 0.038 0.962
81 203 Tl 5.40E-02 0.823 0.177
81 205 Tl 1.29E-01 0.735 0.265
82 204 Pb 6.60E-02 1.000 0.000
82 206 Pb 6.14E-01 0.688 0.312
82 207 Pb 6.80E-01 0.706 0.294
82 208 Pb 1.95E+00 0.922 0.078
83 209 Bi 1.38E-01 0.216 0.784
90 232 Th 4.40E-02 0.000 1.000
92 235 U 5.80E-03 0.000 1.000
92 238 U 1.80E-02 0.000 1.000
